hourly,AG,AR,CE,DO,DU,IN,IR,OP,PP,PR,TR,BR,GBR
0,0.020584603,0.020584603,0.026,0.018,0.026470588,0.026,0.026,0.006724071,0.032406481,0.026,0.019860455,0.026,0.041666667
1,0.019349527,0.019349527,0.007,0.018,0.023529412,0.007,0.007,0.006724071,0.030006001,0.007,0.021576347,0.007,0.041666667
2,0.019349527,0.019349527,0.007,0.018,0.023529412,0.007,0.007,0.006724071,0.028805761,0.007,0.020652638,0.007,0.041666667
3,0.017702758,0.017702758,0.007,0.018,0.023529412,0.007,0.007,0.006724071,0.028405681,0.007,0.023712373,0.007,0.041666667
4,0.018937834,0.018937834,0.007,0.018,0.023529412,0.007,0.007,0.006724071,0.029205841,0.007,0.019838694,0.007,0.041666667
5,0.020996295,0.020996295,0.007,0.038,0.023529412,0.007,0.007,0.006724071,0.031606321,0.007,0.018781342,0.007,0.041666667
6,0.028818444,0.028818444,0.007,0.075,0.029411765,0.007,0.007,0.029121517,0.035407081,0.007,0.043677843,0.007,0.041666667
7,0.032935364,0.032935364,0.029,0.075,0.035294118,0.029,0.029,0.045391512,0.040308062,0.029,0.066703156,0.029,0.041666667
8,0.047344586,0.047344586,0.045,0.038,0.044117647,0.045,0.045,0.068240454,0.043308662,0.045,0.058251492,0.045,0.041666667
9,0.057636888,0.057636888,0.068,0.038,0.052941176,0.068,0.068,0.068240454,0.045709142,0.068,0.05444653,0.068,0.041666667
10,0.069987649,0.069987649,0.068,0.03,0.058823529,0.068,0.068,0.068240454,0.047809562,0.068,0.054389154,0.068,0.041666667
11,0.07822149,0.07822149,0.068,0.045,0.058823529,0.068,0.068,0.068240454,0.048609722,0.068,0.051456679,0.068,0.041666667
12,0.088513792,0.088513792,0.068,0.045,0.058823529,0.068,0.068,0.068240454,0.049409882,0.068,0.048945157,0.068,0.041666667
13,0.082338411,0.082338411,0.068,0.038,0.058823529,0.068,0.068,0.068240454,0.049709942,0.068,0.051631917,0.068,0.041666667
14,0.080279951,0.080279951,0.068,0.03,0.058823529,0.068,0.068,0.068240454,0.050110022,0.068,0.047880043,0.068,0.041666667
15,0.069987649,0.069987649,0.068,0.03,0.058823529,0.068,0.068,0.068240454,0.050010002,0.068,0.049935574,0.068,0.041666667
16,0.059695348,0.059695348,0.068,0.038,0.058823529,0.068,0.068,0.066224845,0.049709942,0.068,0.053381387,0.068,0.041666667
17,0.045286126,0.045286126,0.066,0.075,0.058823529,0.066,0.066,0.064612358,0.048909782,0.066,0.05829966,0.066,0.041666667
18,0.030876904,0.030876904,0.063,0.075,0.052941176,0.063,0.063,0.036522833,0.047709542,0.063,0.051988953,0.063,0.041666667
19,0.026759984,0.026759984,0.037,0.075,0.044117647,0.037,0.037,0.036522833,0.047309462,0.037,0.044632098,0.037,0.041666667
20,0.022643063,0.022643063,0.037,0.075,0.035294118,0.037,0.037,0.036522833,0.046609322,0.037,0.035407607,0.037,0.041666667
21,0.020584603,0.020584603,0.037,0.054,0.032352941,0.037,0.037,0.036522833,0.044008802,0.037,0.037328404,0.037,0.041666667
22,0.020584603,0.020584603,0.037,0.018,0.029411765,0.037,0.037,0.036522833,0.039707942,0.037,0.031669188,0.037,0.041666667
23,0.020584603,0.020584603,0.037,0.018,0.029411765,0.037,0.037,0.025767544,0.035207041,0.037,0.035553311,0.037,0.041666667
